82  599 600 600 483 617 617 617 617 600 600 600 600 617 617 616 599 597 597 597 597 597 597 597 597 597 597 597 597 597 597 597 597 597 597 597 597 613 600 600 599
82  599 600 600 600 600 600 483 483 483 483 483 600 600 600 616 599 483 483 483 483 483 600 483 483 483 483 483 483 483 483 600 483 483 483 483 483 600 600 483 599
82  599 600 600 600 600 600 600 600 483 483 483 600 600 600 617 599 600 600 483 483 483 600 483 483 483 483 483 483 600 600 600 483 483 483 600 600 600 600 483 599
82  594 597 597 598 600 600 596 597 594 597 597 597 598 600 600 599 600 600 600 600 600 600 600 483 483 483 600 600 600 600 600 600 483 483 600 600 600 483 483 599
82  599 483 600 600 600 600 600 600 599 483 483 483 600 600 600 613 600 600 600 600 600 600 600 483 600 600 600 600 600 600 600 600 600 600 600 600 600 483 483 599
82  599 483 483 600 600 600 483 483 599 615 598 600 600 600 600 600 600 600 483 483 600 600 600 600 600 600 600 483 483 483 600 483 483 483 483 483 483 483 483 599
82  599 483 483 600 600 600 483 483 599 617 600 600 600 600 600 600 600 600 483 483 600 600 600 600 600 600 600 483 483 483 600 483 483 483 483 483 483 483 483 599
82  599 483 600 600 600 483 483 483 599 615 598 600 596 597 615 615 615 615 597 597 615 615 615 615 594 597 597 598 483 483 600 596 615 615 615 615 597 597 597 595
82  599 483 600 600 600 483 483 483 599 617 600 600 600 600 617 617 617 617 483 483 617 617 617 617 599 600 600 600 483 483 600 600 617 617 617 617 483 483 483 599
82  599 600 600 600 600 600 600 483 599 483 600 600 600 600 483 483 483 483 600 600 600 600 483 483 599 600 600 487 600 600 600 600 600 600 600 487 487 600 600 599
82  599 600 600 600 600 600 600 483 599 483 600 600 600 600 600 600 483 483 600 600 600 600 483 483 599 600 487 487 600 600 487 487 487 487 600 487 487 487 600 599
82  599 600 600 600 600 600 600 600 599 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 599 600 600 600 600 600 600 600 600 600 600 600 600 600 600 599
82  596 597 597 598 603 605 596 597 596 597 597 597 597 597 597 597 597 597 597 597 597 597 597 597 596 597 597 597 597 597 597 597 597 597 597 597 597 597 597 598
82   82  82  82  82 166 166
