4    4   4   4   4   2  55 482 482   1   1 242 243 578 579 580 581 578 579 580 581 582 583 584 585 102  71  71  71  71  71  71 103 108  65  65 109 578 579 580 581 578 579 580 581 242 243   1   0   0   0   0   0 158  96  96  96
4    4   4   4   4   3  55 482 482   1   1 242 243 586  15 587 588 586 587 587 588 589  15 587 590 104  68  68  68  68  68  68 105 110  15 111 112 586 587 587 588 586 587 587 588 242 243   1   0   0   0   0   0 162  99  99  99
93  93  93  93  93   2  55 482 482   1   1 242 329 323 323 323 323 323 323 323 323 323 323 323 323 108  65  65  65  65  65  65 109 323 323 323 323 323 323 323 323 323 323 323 323 331 243   1   0   0   0   0   0   0   1   3   2
94  94  94  94  94   3  55 482 482   1   1 242 328 326 326 326 326 326 326 326 326 326 326 326 326 108  65  65  65  65  65  65 109 326 326 326 326 326 326 326 326 326 326 326 326 330 243   1   0   0   0   0   0   0   1   2   3
56  56  56  56  56   2  55 482 482   1   1 242 243 163 163 163 163 163 163 163 163 163 163 163 163 108  65  65  65  65  65  65 109 163 163 163 163 163 163 163 163 163 163 163 163 242 243   1   0   0   0   0   0   0   1   3   2
56  56  56  56  56   3  55 482 482   1   1 242 243 163 163 163 163 163 163 163 163 163 163 163 163 108  65  65  65  65  65  65 109 163 163 163 163 163 163 163 163 163 163 163 163 242 243   1   0   0   0   0   0   0   1   2   3
55 102  71  71  71  71 103   2   3   2   3 242 243  56  56 102  71  71 103 102  71  71 103  56  56 108  65  65  65  65  65  65 109 102  71  71 103 102  71  71 103 102  71  71 103 242 243   2   3   2   3 102  71  71  71  71 103
55 104  68  68  68  68 105   3   2   3   2 242 243  56  56 104  68  68 105 104  68  68 105  56  56 108  65  65  65  65  65  65 109 104  68  68 105 104  68  68 105 104  68  68 105 242 243   3   2   3   2 104  68  68  68  68 105
56 453  65  65  65  65 455  56  56  56  56 331 243  56  56 108  65  65 109 108  65  65 109  56  56 108  65  65  65  65  65  65 109 108  65  65 109 108  65  65 109 108  65  65 109 242 329  56  56  56  56 453  65  65  65  65 455
78 110 164 164 164 164 112  55  55  55   5 330 243  56  56 108  65  65 109 108  65  65 109  56  56 108  65  65  65  65  65  65 109 108  65  65 109 108  65  65 109 108  65  65 109 242 328  55   5  55  55 110 164 164 164 164 112
56  56  56  56  56   3  55 482 482   1   1 242 243  56  56 108  65  65 109 108  65  65 109  56  56 108  65  63  64  65  65  65 109 108  65  65 109 108  65  65 109 108  65  65 109 242 243   1   0   0   0   0   0   0   1   1   1
56  56  56  56  56   3  55 482 482   1   1 242 243  55   5 110 164 164 112 110 164 164 112  55   5 110 164  15 587 164 164 164 112 110 164 164 112 110 164 164 112 110 164 164 112 242 243   1   0   0   0   0   0   0   1   1   1
56  56  56  56  56   3  55 482 482   1   1 242 329 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 331 243   1   0   0   0   0   0   0   1   1   1
56  56  56  56  56   3  55 482 482   1   1 242 328 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 330 243   1   0   0   0   0   0   0   1   1   1
76  76  76  76  76  76  76  76  76   0   1 242 243 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 242 243   1   0   0   0 165 106 106 106 106 106
76  76  76  76  76  76  76  76  76   0   1 242 243 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 242 243   1   0   0   0 158  96  96  96  96  96
76  76  76  76  76  76  76  76  76   0   1 242 243   2   3   2   3 102  71  71 103   2   3   2   3   2   3   2   3   2   3   2   3  56  56  56  56 102  71  71 103   2   3   2   3 242 243   1   0  76  76 158  96  96  96  96  96
76  76  76  76  76  76  76  76  76   0   1 242 243 575 576 576 577 104  68  68 105 575 576 576 577 575 576 576 577 575 576 576 577  56  56  56  56 104  68  68 105 575 576 576 577 242 243   1   0  76  76 158  96  96  96  96  96
76  76  76  76  76  76  76  76  76   0   1 242 243 578 579 580 581 108  65  65 109 578 579 580 581 578 579 580 581 578 579 580 581  56  56  56  56 108  65  65 109 578 579 580 581 242 243   1   0  76  76 158  96  96  96  96  96
76  76  76  76  76  76  76  76  76   0   1 242 243 586 587 587 588 110  15 113 112 586 587 587 588 586 587 587 588 586 587 587 588  55  55  55   5 110  15 164 112 586 587 587 588 242 243   1   0  76  76 158  96  96  96  96  96
76  76  76  76  76  76  76  76  76   0   1 242 329 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 331 243   1   0  76  76 158  96  96  96  96  96
76  76  76  76  76  76  76  76  76   0   1 325 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 327   1   0  76  76 162  99  99  99  99  99
76  76  76  76  76  76  76  76  76 102  71  71 103   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3  56  56  56  56   2   3   2   3   2   3   2   3   2   3   2   3 102  71  71 103  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76 104  68  68 105 575 576 576 577 575 576 576 577 575 576 576 577 575 576 576 577  56  56  56  56 575 576 576 577 575 576 576 577 575 576 576 577 104  68  68 105  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76 108  65  65 109 578 579 580 581 578 579 580 581 578 579 580 581 578 579 580 581   1   1  56  56 578 579 580 581 578 579 580 581 578 579 580 581 108  65  65 109  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76 110 164 164 112 586 587 587 588 586 587 587 588 586 587 587 588 586 587 587 588   1   1  55  55 586 587 587 588 586 587 587 588 586 587 587 588 110 164 164 112  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  93  93  93  93  93  93   1   1   1   0   1   0   1   1  93  93  93  93  93  93  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  94  94  94  94  94  94   1   1   1   0   1   0   1   1  94  94  94  94  94  94  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76   0   0   0   0   0   0   0   0 102  71 168  71  71 103   0   0   0   0   0   0  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76   1   1   1   1   1   1   1   1 104  68  68  68  68 105   1   1   1   1   1   1  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  93  93  93  93  93  93   1   1 108  65  65  65  65 109  93  93  93  93  93  93  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  94  94  94  94  94  94   1   1 108  65  65  65  65 109  94  94  94  94  94  94  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76   1   1   1   1   1   1   1   1 108  65  63  64  65 109   1   1   1   1   1   1  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  77  77  77  79  77  77  77  77 110 164  15  58 164 112  77  77  77  79  77  77  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
